#{"t_start": 1665418421.216946, "env_id": null}
r,l,t,is_success
-8.964388,5,6353.083277,
-16.0,4,6353.572245,
-12.888889,4,6353.852075,
-8.964388,5,6354.166181,
-14.0,3,6354.439892,
-8.964388,5,6354.755026,
-14.0,3,6355.023669,
-8.964388,5,6355.31636,
-14.0,3,6355.569449,
-14.0,3,6355.849619,
-14.0,3,6356.120256,
-8.964388,5,6356.421571,
-14.0,3,6356.701317,
-14.0,3,6356.97576,
-14.0,3,6357.24517,
-8.964388,5,6357.561505,
-8.964388,5,6357.864494,
-14.0,3,6358.18465,
-14.0,3,6358.48447,
-14.0,3,6358.812273,
-14.0,3,6359.060812,
-8.964388,5,6359.355831,
-14.0,3,6359.632897,
-8.964388,5,6359.919532,
-8.891027,8,6360.295182,
-14.0,3,6360.569581,
-14.0,3,6360.84168,
-14.0,3,6361.108126,
-28.891026,10,6361.518116,
-8.964388,5,6361.836743,
-8.964388,5,6362.136285,
-14.0,3,6362.393278,
-8.891027,8,6362.767472,
-14.0,3,6363.052723,
-14.0,3,6363.324692,
-8.964388,5,6363.622228,
-14.0,3,6363.891076,
-12.815527,7,6364.803093,
-14.0,3,6365.081851,
-14.0,3,6365.375278,
-14.0,3,6365.632253,
-14.0,3,6365.893656,
-14.0,3,6366.176925,
-14.0,3,6366.452046,
-30.891026,11,6366.886913,
-7.7065554,12,6367.324922,
-14.0,3,6367.611626,
-14.0,3,6367.86464,
-14.0,3,6368.134898,
-8.964388,5,6368.441785,
-14.0,3,6368.690705,
-14.0,3,6369.148978,
-14.0,3,6369.429079,
-8.891027,9,6369.819624,
-14.0,3,6370.089579,
-8.891027,8,6370.436645,
-14.0,3,6370.707308,
-14.0,3,6370.990881,
-14.0,3,6371.257847,
-14.0,3,6371.515989,
-14.0,3,6371.800554,
-14.0,3,6372.076501,
-14.0,3,6372.359175,
-14.0,3,6372.64127,
-16.0,4,6372.939824,
-14.0,3,6373.223687,
-14.0,3,6373.487525,
-14.0,3,6373.738143,
-14.0,3,6373.997947,
-14.0,3,6374.274157,
-9.853276,7,6374.633045,
-14.0,3,6374.862811,
-16.0,5,6375.163189,
-29.853277,10,6375.591703,
-14.0,3,6375.868747,
-14.0,3,6376.129785,
-8.964388,5,6376.433647,
-12.888889,4,6376.720905,
-8.964388,5,6377.017567,
-30.964388,10,6377.435022,
-14.0,3,6377.714279,
-14.0,3,6377.983577,
-14.0,3,6378.261576,
-8.964388,6,6378.562305,
-8.964388,5,6378.863059,
-14.0,3,6379.139873,
-8.964388,5,6379.460488,
-14.0,3,6379.723108,
-14.0,3,6379.983542,
-14.0,3,6380.25896,
-14.0,3,6380.526837,
-22.482193,6,6380.87439,
-14.0,3,6381.14742,
-14.0,3,6381.437539,
-8.964388,5,6381.74973,
-14.0,3,6382.019169,
-14.0,3,6382.291416,
-14.0,3,6382.568219,
-61.926636,11,6383.003854,
-12.888889,4,6383.279797,
-8.964388,5,6383.586331,
-14.0,3,6384.065095,
-14.0,3,6384.32602,
-8.964388,5,6384.639138,
-14.0,4,6384.929615,
-10.964388,6,6385.238263,
-14.0,3,6385.492207,
-9.853276,7,6385.842395,
-14.0,3,6386.115219,
-10.964388,7,6386.463198,
-12.888889,4,6386.756958,
-14.0,3,6386.988863,
-14.0,3,6387.242846,
-4.7443056,12,6387.693097,
-14.0,3,6387.950128,
-8.964388,5,6388.254959,
-30.964388,9,6388.629269,
-8.964388,5,6388.922829,
-14.0,3,6389.188748,
-14.0,3,6389.465018,
-8.964388,5,6389.779279,
-14.0,3,6390.031928,
-14.0,3,6390.299326,
-14.0,3,6390.543212,
-8.964388,5,6390.841515,
-14.0,3,6391.105124,
-14.0,3,6391.370686,
-12.888889,4,6391.664452,
-14.0,3,6391.931959,
-8.964388,5,6392.23327,
-14.0,3,6393.055084,
-8.964388,5,6393.37653,
-14.0,3,6393.621857,
-8.964388,5,6393.954918,
-14.0,3,6394.241013,
-8.964388,5,6394.549608,
-14.0,3,6394.799622,
-14.0,3,6395.085431,
-14.0,3,6395.368902,
-7.8532767,6,6395.695034,
-14.0,3,6395.968004,
-14.0,3,6396.294832,
-14.0,3,6396.580048,
-14.0,3,6396.843789,
-8.891027,8,6397.205966,
-14.0,3,6397.489832,
-14.0,3,6397.783084,
-8.891027,8,6398.140716,
-14.0,3,6398.417724,
-14.0,3,6398.702525,
-8.891027,8,6399.054521,
-58.482193,13,6399.704242,
-14.0,3,6399.983016,
-14.0,3,6400.262903,
-14.0,3,6400.5244,
-14.0,3,6400.782151,
-14.0,3,6401.065684,
-14.0,3,6401.302375,
-14.0,3,6401.575569,
-14.0,3,6401.834355,
-8.964388,5,6402.155202,
-14.0,3,6402.434092,
-14.0,3,6402.702023,
-8.964388,5,6402.982276,
-30.964388,9,6403.372005,
-14.0,3,6403.663437,
-14.0,3,6403.934452,
-14.0,3,6404.2171,
-14.0,3,6404.484895,
-14.0,3,6404.757659,
-14.0,3,6405.040501,
-14.0,3,6405.307513,
-14.0,4,6405.608686,
-7.8532763,6,6405.945418,
-8.964388,5,6406.254128,
-8.8910265,8,6406.611341,
-8.964388,5,6406.941892,
-12.888889,4,6407.233829,
-14.0,3,6407.495984,
-14.0,3,6407.779001,
-14.0,3,6408.043963,
-8.964388,5,6408.349776,
-14.0,3,6408.624592,
-14.0,3,6408.887696,
-14.0,3,6409.137459,
-14.0,3,6409.380175,
-7.8532767,6,6409.706432,
-14.0,3,6409.986319,
-14.0,3,6410.271743,
-14.0,3,6410.541617,
-14.0,3,6410.826255,
-14.0,3,6411.099751,
-8.964388,5,6411.421301,
-8.964388,5,6411.711347,
-14.0,3,6411.992106,
-14.0,3,6412.270395,
-8.964388,5,6412.558727,
-8.891027,8,6412.916403,
-14.0,3,6413.191978,
-14.0,3,6413.461716,
-8.964388,5,6413.784772,
-8.964388,5,6414.318466,
-14.0,3,6414.602727,
-14.0,4,6414.905804,
-8.964388,5,6415.202396,
-14.0,3,6415.470742,
-14.0,3,6415.732855,
-30.964388,9,6416.124868,
-14.0,3,6416.389089,
-14.0,3,6416.657048,
-14.0,3,6416.937342,
-8.964388,5,6417.255902,
-14.0,3,6417.498299,
-8.964388,5,6417.781738,
-8.964388,5,6418.079448,
-14.0,3,6418.362366,
-8.964388,5,6418.669017,
-14.0,3,6418.930853,
-8.964388,5,6419.251964,
-14.0,3,6419.509846,
-14.0,3,6419.774427,
-14.0,3,6420.029513,
-8.964388,5,6420.340477,
-14.0,3,6420.608746,
-14.0,3,6420.874231,
-8.964388,5,6421.176614,
-14.0,3,6421.438399,
-7.8532767,6,6422.327634,
-8.964388,5,6422.648229,
-8.964388,5,6422.964862,
-14.0,3,6423.253733,
-14.0,4,6423.54045,
-14.0,3,6423.823028,
-14.0,3,6424.106085,
-8.964388,5,6424.458567,
-8.964388,5,6424.779653,
-14.0,3,6425.055113,
-8.964388,5,6425.373369,
-8.964388,5,6425.681739,
-8.964388,5,6426.006654,
-14.0,3,6426.265832,
-8.891027,8,6426.642749,
-14.0,3,6426.925283,
-8.964388,5,6427.232915,
-8.964388,5,6427.533803,
-14.0,3,6427.801943,
-8.964388,5,6428.122021,
-8.964388,5,6428.410119,
-14.0,3,6428.669994,
-14.0,3,6428.934781,
-8.891027,8,6429.281065,
-14.0,4,6429.799636,
-16.88889,6,6430.148052,
-14.0,3,6430.417511,
-14.0,3,6430.69393,
-14.0,3,6430.986008,
-14.0,3,6431.263777,
-14.0,3,6431.494085,
-8.964388,5,6431.803573,
-8.964388,5,6432.115291,
-14.0,3,6432.369107,
-14.0,3,6432.638526,
-14.0,3,6432.91478,
-14.0,3,6433.191921,
-14.0,3,6433.471177,
-8.964388,5,6433.791402,
-8.891027,8,6434.149832,
-14.0,3,6434.418189,
-14.0,3,6434.687948,
-12.888889,4,6434.962953,
-8.964388,5,6435.249442,
-14.0,3,6435.510766,
-12.888889,4,6435.784324,
-14.0,3,6436.060987,
-14.0,3,6436.344736,
-14.0,3,6436.630606,
-12.888889,4,6436.914406,
-8.964388,5,6437.234684,
-14.0,3,6437.517473,
-14.0,3,6437.796267,
-7.8532767,6,6438.149172,
-14.0,3,6438.39603,
-8.964388,5,6438.719321,
-8.964388,5,6439.027639,
-14.0,3,6439.290312,
-8.964388,5,6439.602588,
-14.0,3,6439.869938,
-14.0,3,6440.151312,
-14.0,3,6440.445655,
-14.0,3,6440.718546,
-14.0,3,6440.996498,
-8.964388,5,6441.303381,
-14.0,3,6441.580061,
-12.888889,4,6441.848648,
-11.777778,5,6442.162289,
-14.0,3,6442.43971,
-14.0,3,6442.716304,
-59.44658,13,6443.147671,
-14.0,3,6443.413914,
-8.964388,5,6443.685819,
-14.0,3,6452.749222,
-14.0,3,6453.208225,
-7.779916,9,6453.617766,
-14.0,3,6453.868848,
-14.0,3,6454.15074,
-14.0,3,6454.414488,
-14.0,3,6454.668509,
-12.888889,4,6454.963931,
-8.964388,5,6455.27591,
-14.0,3,6455.554106,
-14.0,3,6455.822033,
-14.0,3,6456.081839,
-8.964388,5,6456.367592,
-14.0,3,6456.637917,
-14.0,3,6456.90814,
-12.888889,4,6457.208619,
-8.964388,5,6457.530545,
-14.0,3,6457.794435,
-14.0,3,6458.047689,
-14.0,3,6458.30529,
-8.964388,5,6458.618772,
-8.964388,5,6459.501594,
-14.0,3,6459.774648,
-14.0,3,6460.023823,
-14.0,3,6460.297245,
-14.0,3,6460.584971,
-14.0,3,6460.870954,
-14.0,3,6461.157205,
-8.964388,5,6461.470741,
-14.0,3,6461.744404,
-14.0,3,6462.016641,
-14.0,3,6462.28622,
-14.0,3,6462.563795,
-14.0,3,6462.849172,
-14.0,3,6463.120777,
-8.964388,5,6463.443225,
-8.964388,5,6463.756602,
-8.964388,5,6464.083848,
-12.888889,4,6464.383519,
-14.0,3,6464.673272,
-14.0,3,6464.954763,
-14.0,3,6465.240683,
-14.0,3,6465.515136,
-8.964388,5,6465.837015,
-14.0,3,6466.120924,
-4.817664,9,6466.508026,
-14.0,3,6466.784228,
-14.0,3,6467.04021,
-14.0,3,6467.297,
-14.0,3,6467.572376,
-14.0,3,6467.834648,
-14.0,3,6468.29227,
-8.964388,5,6468.61065,
-14.0,3,6468.862055,
-8.964388,5,6469.184541,
-8.964388,6,6469.525678,
-14.0,3,6469.78701,
-14.0,3,6470.043899,
-14.0,3,6470.318795,
-8.964388,5,6470.633076,
-14.0,4,6470.922947,
-14.0,3,6471.193375,
-8.964388,5,6471.520585,
-14.0,3,6471.765255,
-14.0,3,6472.007472,
-9.853276,7,6472.358293,
-14.0,3,6472.635332,
-14.0,3,6472.906191,
-14.0,3,6473.173654,
-14.0,3,6473.437761,
-8.964388,5,6473.758816,
-12.888889,4,6474.062782,
-14.0,3,6474.337821,
-14.0,3,6474.58636,
-14.0,3,6474.851418,
-14.0,3,6475.127921,
-14.0,3,6475.38734,
-14.0,3,6475.663549,
-8.964388,5,6475.962388,
-14.0,3,6476.221689,
-14.0,3,6476.461532,
-14.0,3,6476.726634,
-14.0,3,6476.9774,
-14.0,3,6477.251339,
-8.964388,5,6477.55503,
-10.964388,6,6477.865554,
-8.964388,5,6478.157026,
-14.0,3,6478.427428,
-14.0,3,6478.672354,
-8.891027,8,6479.044078,
-14.0,3,6479.325305,
-14.0,3,6479.603515,
-12.888889,4,6479.906312,
-8.964388,5,6480.204591,
-14.0,3,6480.46287,
-14.0,3,6480.739692,
-8.964388,5,6481.055797,
-14.0,3,6481.339208,
-14.0,3,6481.612114,
-14.0,3,6481.884092,
-14.0,3,6482.146714,
-14.0,3,6482.627827,
-12.815527,7,6483.003517,
-14.0,3,6483.286111,
-16.88889,6,6483.624631,
-14.0,3,6483.904877,
-14.0,3,6484.200107,
-12.888889,4,6484.503699,
-14.0,3,6484.778333,
-14.0,3,6485.030248,
-12.888889,4,6485.298429,
-8.964388,5,6485.616194,
-14.0,3,6485.894049,
-12.888889,4,6486.157217,
-8.964388,5,6486.469715,
-14.0,3,6486.762043,
-14.0,3,6487.032984,
-14.0,3,6487.300253,
-14.0,3,6487.584262,
-14.0,3,6488.415566,
-8.964388,5,6488.702434,
-8.964388,5,6489.024069,
-12.888889,4,6489.311337,
-8.964388,5,6489.614359,
-14.0,3,6489.905936,
-12.815527,7,6490.236974,
-8.964388,5,6490.554663,
-14.0,3,6490.840338,
-14.0,3,6491.10989,
